Size,Sorted,Random,Reverse,Bubble,Selection,Insertion,Merge,Quick,Heap,Best
450,0,0,1,0.02906807800671002,0.010205514796145327,0.022311380317619256,0.0023931490408407676,0.017525208962930215,0.003307992273622805,3
460,1,0,0,0.014329089547082575,0.01177358297708397,0.00014415864021547379,0.003384238563924341,0.029881919034615092,0.0026641749017249604,2
460,0,1,0,0.023401320804648684,0.01130471581138224,0.010872841980050786,0.0031682027649769587,0.0012240970189670265,0.0033842198859711397,4
460,0,0,1,0.031549607553789695,0.010440658314436812,0.023545534380020633,0.0025921373323361447,0.016705257002659107,0.0026641463354435935,3
470,1,0,0,0.013340220136462518,0.009581378046071754,0.00014740453576141932,0.003095416527874065,0.027048885822296143,0.003095522241772346,2
470,0,1,0,0.029369209172590723,0.014519529522589917,0.016877952611671306,0.003316735321620725,0.0013266655634034355,0.0031692228227291467,4
470,0,0,1,0.03346104554410251,0.012234857622182594,0.020857899818780286,0.0020635015559646317,0.01637647624285716,0.001916292703376626,5
480,1,0,0,0.011568500445439266,0.009164654291593112,7.514540965740498e-05,0.001980027327170739,0.02088342377772698,0.002629196414580712,2
480,0,1,0,0.019269712842427768,0.00871391135912675,0.011418116780427786,0.002704321191861079,0.0010516872772803674,0.002478982393558209,4
480,0,0,1,0.025465901081378643,0.008789047598838806,0.02231013889496143,0.0029298777763660136,0.015324518084526062,0.002695474487084609,5
490,1,0,0,0.01298131545384725,0.008884636794819552,0.00030637839261223287,0.003370061808941411,0.02415940574571198,0.002374374398998186,2
490,0,1,0,0.023131102907891367,0.009037978508893181,0.011296420705084707,0.0020680345740972782,0.0010723015841315774,0.0020680041874156277,4
490,0,0,1,0.027526840275409175,0.00980392156862745,0.020450345441406847,0.002068036911534328,0.015624984806659175,0.0020680345740972782,5
500,1,0,0,0.010703104734420776,0.009296902418136598,7.811546325683593e-05,0.0021875011920928955,0.02343750238418579,0.002421891689300537,2
500,0,1,0,0.021171867847442627,0.009140589237213136,0.012109380960464478,0.0030468797683715822,0.001484222412109375,0.0028126919269561767,4
500,0,0,1,0.04042574524879455,0.0133139169216156,0.026015454530715944,0.0025781309604644776,0.016978635787963867,0.002656271457672119,3
510,1,0,0,0.014588793929742307,0.011479606433790557,0.0001594156635050871,0.002471309535357417,0.02718431973943905,0.002551008243950046,2
510,0,1,0,0.02175814034987469,0.009885223544373805,0.01267540454864502,0.002391545140013403,0.0008767502648489815,0.0023915791998104174,4
510,0,0,1,0.03101105957615132,0.010204074334125129,0.02121345364317602,0.002152447797814194,0.017139602680595552,0.0025843430538566746,3
